code,name,price,vol,trade_value,pe,industry,chip_ratio,value_billion,回檔%,今日漲幅%,chip_success
1623,大東電,219.0,139.951,30330844,17.69,其他,-22.1,0.3,10.61,0.0,1
1626,艾美特-KY,10.0,46.366,462289,,其他,-21.57,0.0,23.08,0.0,1
1702,南僑,33.35,173.67,5774566,46.32,其他,39.73,0.06,2.63,0.3,1
1707,葡萄王,91.5,250.057,22780570,11.44,其他,37.6,0.23,6.92,0.77,1
1708,東鹼,52.7,2692.19,143236021,15.64,其他,-17.62,1.43,17.91,-2.23,1
1709,和益,26.25,5146.809,139268241,18.88,其他,9.97,1.39,8.22,-3.49,1
1710,東聯,15.75,9383.238,151082089,,其他,-10.05,1.51,21.84,-6.25,1
1711,永光,35.65,3745.187,135493491,,其他,-3.08,1.35,28.34,-5.31,1
1712,興農,39.1,748.443,29110291,15.77,其他,1.47,0.29,3.69,-0.13,1
1713,國化,48.2,47.663,2293295,10.76,其他,-10.13,0.02,5.86,0.42,1
1714,和桐,14.9,10317.224,155406852,23.28,其他,-4.11,1.55,40.4,-3.56,1
1717,長興,60.2,8124.298,492428250,40.68,其他,-17.55,4.92,32.05,-3.06,1
1718,中纖,11.0,41010.713,456965395,45.83,其他,-16.74,4.57,32.1,-3.08,1
1720,生達,56.5,294.983,16568352,10.46,其他,3.73,0.17,0.8,0.71,1
1721,三晃,20.35,634.222,13117960,,其他,3.31,0.13,29.95,-5.13,1
1722,台肥,46.45,1592.201,73507542,44.66,其他,17.86,0.74,6.26,0.65,1
1723,中碳,88.1,778.53,69069058,35.52,其他,-15.81,0.69,4.86,-1.45,1
1725,元禎,29.5,43.212,1273056,18.21,其他,-20.83,0.01,19.4,0.17,1
1726,永記,76.0,43.45,3286442,12.82,其他,-2.3,0.03,1.76,0.8,1
1727,中華化,76.0,1290.693,99781193,205.41,其他,-12.85,1.0,25.12,-4.04,1
1730,花仙子,51.5,13.365,685965,11.12,其他,0.0,0.01,0.96,0.39,1
1731,美吾華,20.55,84.565,1738313,14.68,其他,3.55,0.02,2.84,0.0,1
1732,毛寶,28.0,800.161,22289677,31.11,其他,35.13,0.22,5.41,1.45,1
1733,五鼎,32.05,258.002,8264422,17.61,其他,68.61,0.08,1.69,1.26,1
1734,杏輝,31.4,775.375,24146181,18.26,其他,-8.31,0.24,0.42,5.7,1
1735,日勝化,19.5,201.819,3988159,24.07,其他,-24.77,0.04,23.23,-2.5,1
1736,喬山,136.5,695.616,93064143,16.59,其他,-11.6,0.93,4.21,3.8,1
